name,unmodified_size,modified_size,can_fly,good,danger,modified_speed,combat_value
kind floating goblin,2,1,1,1,-1,2,3.0
floating basic monkey,3,3,1,0,0,3,6.0
ghostly murderous weasel,2,5,1,-1,1,4,9.360000000000001
regular big shark,4,5,0,0,1,5,10.0
sick enraged falcon,3,4,0,-1,1,8,10.919999999999998
friendly magical pheonix,5,4,0,1,1,7,11.0
big humongous bug,1,6,0,0,1,2,8.0
magical huge zombie,2,4,0,1,1,1,5.0
unholy ancient wyvern,4,5,0,-1,1,6,16.5
plain awful buzzard,3,4,0,-1,0,5,9.0
sleeping crazy buzzard,3,3,0,0,-1,2,0.55
lightning demonic trout,2,3,0,-1,-1,6,9.0
levitating ancient hydra,5,6,1,0,1,5,16.5
invisible ancient pig,3,4,0,0,1,3,11.55
awful enraged dragon,5,8,0,-1,1,10,23.400000000000002
ethereal microscopy kraken,5,2,1,0,1,3,3.5
fire-breathing shadowy hydra,5,6,0,-1,1,4,15.0
weakened tiny dragon,5,3,0,0,1,7,9.0
humongous ancient weasel,2,7,0,0,1,4,16.5
ancient small wolf,3,3,0,0,1,5,12.0
floating enormous pig,3,6,1,0,1,2,8.0
radiant fast demon,5,5,0,1,1,8,14.3
nice holy person,3,2,0,1,0,2,4.0
armored friendly fairie,1,2,0,1,-1,3,6.5
sick celestial person,3,3,1,1,-1,1,2.8
humongous tired ghost,2,5,0,0,1,1,5.4
magical awful spider,1,2,0,0,0,2,4.0
fire-breathing enraged pegasus,3,6,0,-1,1,7,25.35
winged murderous hydra,5,8,1,-1,1,8,24.96
weakened dead shark,4,3,-1,0,-1,-1,0.018000000000000002
mini ghostly pig,3,2,1,0,0,2,3.2
flying floating fairie,1,1,1,0,-1,6,7.0
levitating small elephant,5,4,1,0,1,5,9.0
toy shadowy centaur,4,2,0,-1,-1,4,0.6000000000000001
invisible giant fish,2,5,0,0,1,3,8.8
lightning celestial banshee,2,3,1,1,1,9,12.0
ghostly poisonous vampire,4,4,1,0,1,5,10.08
little cursed pig,3,2,0,-1,0,3,5.0
poisonous petrified salamander,2,2,-1,0,-1,0,1.1199999999999999
floating earth-bound monkey,3,3,0,0,-1,3,0.0
lightning unholy ogre,4,4,0,-1,1,5,9.0
tiny winged mouse,1,0,1,0,-1,6,7.199999999999999
winged aquatic shark,4,4,-1,0,1,8,12.959999999999999
mystical radiant basilisk,3,3,0,1,1,4,7.700000000000001
murderous crazy man,3,8,0,-1,1,3,15.730000000000002
insane plain vampire,4,6,0,-1,1,7,13.0
radiant unholy harpy,2,2,0,-1,1,5,7.700000000000001
large evil elephant,5,6,0,-1,1,4,10.0
murderous little centaur,4,6,0,-1,1,6,15.600000000000001
lightning enormous griffon,4,7,0,0,1,10,17.0
ancient normal rat,2,3,0,0,0,3,9.0
angry holy bear,4,5,0,1,1,6,12.100000000000001
big tired cockatrice,2,2,0,0,1,4,5.4
dead petrified griffin,5,5,-1,0,1,0,0.020000000000000004
earth-bound ghostly dog,2,2,-1,0,-1,3,0.0
mini armored cockatrice,2,3,0,0,1,4,9.1
poisonous tiny dog,2,1,0,0,-1,4,7.0
armored lightning zombie,2,4,0,0,1,3,9.1
flying unholy harpy,2,2,1,-1,1,8,10.0
humongous huge minotaur,4,10,0,0,1,4,14.0
sick raging manticore,3,5,0,-1,1,5,9.1
small sick nymph,2,0,0,0,-1,2,1.4
raging quick bird,2,5,0,-1,1,7,15.600000000000001
weak humongous sloth,3,6,0,0,1,2,6.4
floating knoble gorrila,4,4,1,1,1,2,6.0
evil crazy bass,2,4,0,-1,-1,3,7.700000000000001
sick thunderous tiger,4,4,0,0,1,5,7.56
enraged knoble manticore,3,5,0,-1,1,6,14.3
angelic friendly mummy,3,2,0,1,0,2,4.0
angry ghostly wyvern,4,5,1,0,1,6,9.680000000000001
insane crippled mermaid,2,2,-1,-1,-1,2,1.2
enraged angelic lion,4,6,0,1,1,7,16.900000000000002
ancient ferocious cat,2,4,0,0,1,5,18.9
giant basic sphinx,3,6,0,0,1,3,9.0
invisible lightning fairy,1,1,0,0,-1,7,8.8
insane satanic mummy,3,5,0,-1,1,3,8.0
crippled radiant dwarf,2,0,-1,1,-1,0,0.0
crippled enormous zombie,2,3,-1,0,-1,-1,0.6
normal knoble priest,3,3,0,1,0,2,5.0
humongous quick eagle,3,7,0,0,1,7,14.0
fast big elephant,5,6,0,0,1,6,12.0
lightning levitating orc,3,3,1,0,1,7,10.0
ethereal ice-covered hippogriff,3,4,1,0,0,3,5.39
little ethereal sith,3,2,1,0,1,3,3.5
large floating angel,4,5,1,0,1,6,11.0
tiny giant pheonix,5,7,0,0,1,7,14.0
giant plain kraken,5,8,0,0,1,4,12.0
crazy fast harpy,2,4,0,0,1,7,12.100000000000001
regular evil faun,2,2,0,-1,0,3,5.0
radiant unholy sprite,1,1,0,1,-1,4,5.5
sick crazy ape,3,4,0,0,1,3,5.39
celestial sleeping kraken,5,4,1,1,-1,1,0.5
enraged armored fish,2,6,0,-1,1,4,16.900000000000002
ice-covered radiant ape,3,4,-1,1,1,3,8.470000000000002
unholy floating lion,4,4,1,-1,1,4,8.0
lightning unholy ape,3,3,0,-1,1,7,10.0
weak dead salamander,2,1,-1,0,-1,-2,-0.008
quick basic fly,1,1,0,0,-1,4,5.0
weakened sick sphinx,3,1,0,0,-1,1,1.26
thunderous satanic horse,4,5,0,-1,1,6,13.2
tiny big mermaid,2,2,0,0,0,3,5.0
small giant hydra,5,7,0,0,1,4,11.0
fast floating bass,2,2,1,0,-1,4,6.0
kind mini ghost,2,0,0,1,-1,2,2.0
tired lightning ghost,2,1,0,0,-1,4,4.5
satanic celestial weasel,2,3,1,0,0,4,7.0
enormous ethereal pixie,1,4,1,0,0,3,4.8999999999999995
friendly dead person,3,2,-1,1,-1,-3,-0.01
crazy quick fly,1,3,0,0,0,4,7.700000000000001
average satanic sloth,3,3,0,-1,0,2,5.0
evil normal cat,2,2,0,-1,0,4,6.0
giant fire-breathing ghost,2,6,0,0,1,2,12.0
weak basic wyvern,4,3,0,0,1,6,7.2
average celestial cyclops,4,5,1,1,1,3,8.0
enraged large bear,4,7,0,-1,1,7,18.2
tired sick trout,2,0,0,0,-1,1,0.63
flying poisonous wyvern,4,4,1,0,1,9,18.2
humongous flying snake,1,5,1,0,1,6,11.0
aggressive enormous minotaur,4,8,0,0,1,5,15.6
sleeping fire-breathing angel,4,3,0,0,-1,4,1.05
poisonous crazy zerba,4,6,0,0,1,5,16.94
ferocious sleeping sparrow,1,0,0,0,-1,2,0.27999999999999997
invisible quick leviathan,5,5,0,0,1,5,11.0
crippled plain tiger,4,2,-1,0,-1,3,1.5
murderous nice orc,3,5,0,-1,1,4,11.700000000000001
satanic small bass,2,1,0,-1,-1,3,4.0
radiant satanic minotaur,4,4,0,-1,1,4,8.8
giant shadowy sprite,1,4,0,-1,0,4,8.0
enormous aquatic tiger,4,7,-1,0,1,5,10.8
nice unholy cat,2,1,0,0,-1,4,5.0
unholy ghostly wolf,3,3,1,-1,1,4,5.6000000000000005
microscopy basic snake,1,-2,0,0,-1,3,1.0
magical floating banshee,2,2,1,1,1,5,7.0
floating poisonous griffin,5,5,1,0,1,7,16.799999999999997
holy ice-covered fish,2,3,-1,1,0,2,5.5
tiny winged trout,2,1,1,0,-1,6,8.4
knoble toy pheonix,5,3,0,1,-1,6,0.9
radiant tired snake,1,0,0,1,-1,2,1.9800000000000002
shadowy evil fairie,1,1,0,-1,-1,4,5.0
poisonous crazy ape,3,5,0,0,1,4,13.860000000000001
thunderous tiny faun,2,2,0,0,0,4,7.199999999999999
normal earth-bound harpy,2,2,-1,0,-1,5,0.0
radiant friendly mummy,3,2,0,1,0,2,4.4
humongous basic pegasus,3,7,0,0,1,5,12.0
ghostly sleeping fairy,1,-1,1,0,-1,0,-0.08000000000000002
kind average person,3,2,0,1,0,2,4.0
satanic unholy mummy,3,3,0,-1,0,2,5.0
sick radiant snake,1,0,0,1,-1,2,1.54
earth-bound small nymph,2,1,-1,0,-1,3,0.0
satanic tiny hydra,5,4,0,-1,1,4,8.0
average fire-breathing vampire,4,5,0,0,1,6,16.5
ferocious fast zombie,2,3,0,0,1,4,9.799999999999999
ferocious large wyvern,4,6,0,0,1,7,18.2
flying satanic person,3,3,1,-1,0,5,8.0
knoble fast person,3,3,0,1,0,4,7.0
basic toy pegasus,3,1,0,0,-1,4,0.5
dead aquatic banshee,2,2,-1,0,-1,1,0.027
cursed huge jedi,3,5,0,-1,1,4,9.0
demonic toy cockatrice,2,1,0,-1,-1,4,0.5
small raging priest,3,5,0,-1,1,4,11.700000000000001
radiant enraged sprite,1,3,0,1,1,6,12.870000000000001
cursed regular shark,4,4,0,-1,1,5,9.0
murderous shadowy goblin,2,5,0,-1,1,4,11.700000000000001
flying angry roc,5,6,1,0,1,10,17.6
celestial lightning bass,2,3,1,1,-1,6,9.0
angry ferocious vampire,4,6,0,0,1,8,21.560000000000002
knoble toy spider,1,-1,0,1,-1,1,0.0
shadowy earth-bound wraith,3,3,-1,-1,-1,4,0.0
friendly fast griffin,5,4,0,1,1,10,14.0
lightning normal spider,1,1,0,0,-1,5,6.0
little poisonous monkey,3,2,0,0,0,4,8.399999999999999
crazy demonic bird,2,5,0,-1,1,4,9.9
floating celestial cat,2,3,1,1,0,3,6.0
magical shadowy ogre,4,4,0,-1,1,2,6.0
fire-breathing regular monkey,3,4,0,0,1,4,12.0
giant quick fairy,1,4,0,0,-1,5,9.0
weak toy faun,2,-1,0,0,-1,2,0.08000000000000002
enraged satanic gorgon,3,5,0,-1,1,5,13.0
petrified ethereal fairy,1,1,1,0,-1,0,0.27999999999999997
radiant basic fly,1,1,0,1,-1,3,4.4
raging angry rat,2,6,0,-1,1,6,17.160000000000004
little fire-breathing bug,1,1,0,0,-1,2,4.5
mystical sleeping wolf,3,1,0,1,-1,2,0.30000000000000004
small big demon,5,5,0,0,1,6,11.0
aquatic ethereal lion,4,4,-1,0,1,4,5.04
awful ancient dragon,5,7,0,-1,1,8,22.5
huge armored manticore,3,7,0,0,1,3,13.0
weak average sprite,1,0,0,0,-1,4,3.2
tiny ancient gorrila,4,4,0,0,1,3,10.5
regular murderous minotaur,4,7,0,-1,1,5,15.600000000000001
friendly dead cat,2,1,-1,1,-1,-1,0.0
floating microscopy tiger,4,1,1,0,-1,4,5.0
aggressive little ape,3,3,0,0,1,5,9.6
mini huge sprite,1,2,0,0,0,4,6.0
petrified fast werewolf,4,4,-1,0,1,4,3.2
plain ferocious eagle,3,4,0,0,1,7,15.399999999999999
toy mystical person,3,1,0,1,-1,1,0.2
plain quick faun,2,2,0,0,0,4,6.0
crippled fast person,3,1,-1,0,-1,2,0.8999999999999999
angelic insane horse,4,6,0,1,1,6,12.0
regular ice-covered salamander,2,3,-1,0,0,2,5.5
murderous winged goblin,2,5,1,-1,1,7,18.720000000000002
weakened little harpy,2,0,0,0,-1,4,3.6
small humongous roc,5,8,0,0,1,6,14.0
murderous shadowy zerba,4,7,0,-1,1,6,16.900000000000002
ethereal insane sloth,3,5,1,-1,1,2,4.8999999999999995
nice petrified werewolf,4,3,-1,1,-1,2,2.0
sleeping thunderous goblin,2,1,0,0,-1,1,0.24
toy awful manticore,3,2,0,-1,-1,3,0.5
aquatic friendly snake,1,0,-1,1,-1,3,2.7
thunderous evil nymph,2,3,0,-1,0,4,8.4
kind evil elf,3,2,0,0,0,3,5.0
awful poisonous ape,3,4,0,-1,1,4,11.2
enraged mini dwarf,2,3,0,-1,0,4,9.1
satanic raging mummy,3,6,0,-1,1,4,13.0
giant weak bird,2,4,0,0,0,4,6.4
plain holy condor,3,3,0,1,0,5,8.0
earth-bound weakened yeti,4,3,-1,0,-1,3,0.0
poisonous invisible troll,4,4,0,0,1,2,9.239999999999998
demonic giant banshee,2,6,0,-1,1,6,12.0
angry invisible sloth,3,4,0,0,0,3,8.470000000000002
dead celestial orc,3,4,-1,1,-1,-2,0.02
huge celestial person,3,6,1,1,1,2,8.0
fire-breathing magical banshee,2,3,0,1,1,6,13.5
friendly mystical bug,1,0,0,1,-1,2,2.0
floating demonic tiger,4,5,1,-1,1,4,9.0
floating basic man,3,3,1,0,0,1,4.0
nice enraged mermaid,2,3,0,1,1,5,10.4
aquatic giant fly,1,4,-1,0,0,3,6.3
sick poisonous centaur,4,3,0,0,1,4,6.8599999999999985
angelic enormous dog,2,5,0,1,1,4,9.0
ethereal basic human,3,3,1,0,-1,1,2.8
toy levitating pixie,1,-1,1,0,-1,4,0.30000000000000004
lightning fast pheonix,5,5,0,0,1,12,17.0
fast weakened mummy,3,2,0,0,0,3,4.5
large kind cerberus,4,4,0,1,1,5,9.0
enraged basic horse,4,6,0,-1,1,7,16.900000000000002
flying ghostly man,3,3,1,0,0,4,5.6000000000000005
normal friendly hydra,5,4,0,1,1,4,8.0
mini magical pixie,1,0,0,1,-1,4,4.0
weak small gorrila,4,2,0,0,1,3,4.0
invisible regular banshee,2,2,0,0,1,6,8.8
angry normal cat,2,3,0,0,0,5,8.8
ghostly average sith,3,3,1,0,1,3,4.800000000000001
ice-covered awful fairy,1,3,-1,-1,-1,3,6.6000000000000005
levitating friendly tiger,4,3,1,1,1,6,9.0
shadowy knoble elephant,5,5,0,0,1,4,9.0
toy ice-covered elephant,5,4,-1,0,-1,2,0.6600000000000001
normal awful dwarf,2,3,0,-1,0,2,5.0
insane tired griffon,4,5,0,-1,1,7,10.8
floating satanic wraith,3,3,1,-1,1,3,6.0
friendly levitating man,3,2,1,1,0,3,5.0
evil huge mummy,3,5,0,-1,1,2,7.0
ancient cursed goblin,2,3,0,-1,1,3,9.0
holy fire-breathing angel,4,5,0,1,1,7,18.0
small basic fly,1,0,0,0,-1,3,3.0
levitating angelic bird,2,2,1,1,0,5,7.0
unholy crippled minnow,1,-1,-1,-1,-1,0,-0.3
aggressive poisonous lion,4,5,0,0,1,6,18.479999999999997
ancient fire-breathing fly,1,3,0,0,1,3,13.5
satanic enormous pheonix,5,8,0,-1,1,7,15.0
fast dead bear,4,4,-1,0,-1,2,0.06
magical raging salamander,2,5,0,0,1,5,13.0
lightning thunderous banshee,2,3,0,0,1,10,15.6
petrified holy gnat,1,1,-1,1,-1,-1,0.0
fast thunderous falcon,3,4,0,0,1,10,16.8
levitating sick yeti,4,3,1,0,1,4,4.8999999999999995
holy big gnat,1,2,0,1,0,2,4.0
small weak eagle,3,1,0,0,-1,6,5.6000000000000005
ice-covered petrified basilisk,3,4,-1,0,-1,0,1.7600000000000002
tiny ferocious sparrow,1,1,0,0,-1,5,8.399999999999999
normal ghostly goblin,2,2,1,0,1,2,3.2
poisonous aggressive ogre,4,5,0,0,1,3,13.44
awful giant cat,2,6,0,-1,1,4,10.0
cursed dead lion,4,4,-1,-1,-1,0,0.04
demonic flying vampire,4,5,1,-1,1,9,14.0
ethereal mystical minnow,1,1,1,1,-1,1,1.4
raging cursed hydra,5,8,0,-1,1,6,18.2
celestial mystical gnat,1,2,1,1,0,2,4.0
winged weakened faun,2,1,1,0,-1,5,6.4799999999999995
average mini unicorn,3,2,0,0,0,5,7.0
aquatic large sprite,1,2,-1,0,0,4,5.4
armored large elf,3,6,0,0,1,2,10.4
small mystical dwarf,2,1,0,1,-1,2,3.0
average ferocious pixie,1,2,0,0,0,5,9.799999999999999
insane evil yeti,4,6,0,-1,1,5,11.0
average winged wolf,3,3,1,0,1,8,13.2
big aggressive bear,4,6,0,0,1,6,14.399999999999999
little dead harpy,2,1,-1,0,-1,0,0.01
flying little fairie,1,0,1,0,-1,7,7.0
unholy invisible yeti,4,4,0,-1,1,4,8.8
average thunderous kraken,5,6,0,0,1,5,13.2
angry mini condor,3,3,0,0,0,6,9.9
fast aggressive minotaur,4,5,0,0,1,7,14.399999999999999
satanic raging pixie,1,4,0,-1,1,6,13.0
microscopy ghostly dragon,5,2,1,0,1,7,7.2
small petrified mermaid,2,1,-1,0,-1,0,0.4
weak celestial nymph,2,2,1,1,0,3,4.0
weak crazy pig,3,4,0,0,0,3,6.160000000000001
crippled little dragon,5,2,-1,0,-1,6,2.4
dead shadowy pheonix,5,5,-1,-1,1,2,0.07
insane weakened snake,1,2,0,-1,0,3,4.5
giant huge man,3,8,0,0,1,2,10.0
dead flying snake,1,1,-1,0,-1,1,0.02
enraged insane unicorn,3,7,0,-1,1,8,19.5
little murderous hydra,5,7,0,-1,1,5,15.600000000000001
poisonous lightning vampire,4,4,0,0,1,9,18.2
big satanic weasel,2,3,0,-1,0,4,7.0
winged nice roc,5,4,1,1,1,9,15.6
aquatic shadowy pig,3,3,-1,-1,0,3,5.4
radiant unholy weasel,2,2,0,0,0,4,6.6000000000000005
enormous toy hydra,5,6,0,0,1,3,0.9
enormous sleeping fairie,1,2,0,0,-1,1,0.30000000000000004
quick evil dwarf,2,2,0,-1,0,3,5.0
weak fire-breathing minotaur,4,4,0,0,1,4,9.600000000000001
ethereal kind spider,1,0,1,1,-1,1,0.7
basic big human,3,4,0,0,0,2,6.0
sick microscopy man,3,-1,0,0,-1,1,0.0
sleeping fire-breathing pegasus,3,2,0,0,-1,2,0.6000000000000001
satanic knoble jedi,3,3,0,1,1,4,7.0
poisonous unholy zerba,4,4,0,-1,1,5,12.6
enormous humongous salamander,2,9,0,0,1,3,12.0
ancient flying sparrow,1,2,1,0,1,7,13.5
giant normal human,3,6,0,0,1,2,8.0
toy flying orc,3,1,1,0,-1,5,0.6000000000000001
magical invisible elf,3,3,0,1,0,3,6.6000000000000005
winged earth-bound horse,4,4,0,0,-1,8,0.0
ghostly quick mermaid,2,2,1,0,0,3,4.0
knoble insane condor,3,5,0,0,1,6,11.0
aquatic angelic mummy,3,3,-1,1,0,2,4.5
regular angry gorgon,3,4,0,0,1,4,8.8
huge radiant elephant,5,7,0,1,1,4,12.100000000000001
raging crippled ghost,2,3,-1,-1,-1,2,1.95
crazy dead zombie,2,4,-1,0,-1,-4,0.0
giant enraged ogre,4,9,0,-1,1,4,16.900000000000002
fast tiny pig,3,2,0,0,0,5,7.0
plain weakened harpy,2,1,0,0,-1,4,4.5
tiny regular wolf,3,2,0,0,1,5,7.0
ice-covered fast pegasus,3,4,-1,0,1,6,11.0
fast small pig,3,2,0,0,0,5,7.0
toy fast werewolf,4,2,0,0,-1,6,0.8
shadowy toy hippogriff,3,1,0,-1,-1,4,0.5
aggressive plain jedi,3,4,0,0,1,5,10.799999999999999
insane quick vampire,4,6,0,-1,1,8,14.0
enormous ethereal condor,3,6,1,0,1,4,7.0
unholy levitating human,3,3,1,-1,0,3,6.0
ethereal levitating sphinx,3,3,1,0,1,3,4.199999999999999
unholy insane person,3,5,0,-1,1,3,8.0
cursed satanic dog,2,2,0,-1,0,4,6.0
enraged evil roc,5,7,0,-1,1,8,19.5
friendly awful vampire,4,4,0,-1,1,6,10.0
fast angry gorgon,3,4,0,0,1,6,11.0
ice-covered kind cerberus,4,4,-1,1,1,4,8.8
petrified winged roc,5,5,1,0,1,6,5.28
enormous small leviathan,5,7,0,0,1,4,11.0
knoble sick harpy,2,1,0,1,-1,4,3.5
big fire-breathing minnow,1,3,0,0,-1,2,7.5
basic friendly basilisk,3,2,0,1,1,4,6.0
microscopy insane shark,4,3,0,-1,1,6,9.0
murderous ice-covered person,3,7,-1,-1,1,2,12.870000000000003
fire-breathing winged wolf,3,4,1,0,1,8,21.599999999999998
celestial floating troll,4,5,1,1,1,1,6.0
kind magical priest,3,2,0,1,0,2,4.0
tiny ethereal man,3,2,1,0,-1,1,2.0999999999999996
aquatic nice condor,3,2,-1,1,0,5,6.3
crippled invisible kraken,5,3,-1,0,-1,2,1.6500000000000001
big ice-covered trout,2,4,-1,0,-1,2,6.6000000000000005
petrified friendly cerberus,4,3,-1,1,-1,2,2.0
crazy raging priest,3,8,0,-1,1,4,17.160000000000004
armored unholy priest,3,5,0,-1,1,1,7.800000000000001
aquatic magical gnat,1,1,-1,1,-1,2,2.7
armored magical zombie,2,4,0,1,1,0,5.2
earth-bound mystical falcon,3,3,-1,1,-1,7,0.0
winged friendly rat,2,1,1,1,-1,6,8.4
enraged invisible lion,4,6,0,-1,1,7,18.590000000000003
regular floating ogre,4,4,1,0,1,1,5.0
awful floating bird,2,3,1,-1,0,3,6.0
lightning humongous demon,5,9,0,0,1,9,18.0
aquatic toy bug,1,-1,-1,0,-1,1,0.0
fire-breathing aggressive dragon,5,7,0,0,1,9,28.799999999999997
unholy huge sloth,3,5,0,-1,1,2,7.0
earth-bound demonic fairy,1,2,-1,-1,-1,4,0.0
weakened ancient wolf,3,3,0,0,1,4,9.45
small plain banshee,2,1,0,0,-1,6,7.0
knoble radiant pegasus,3,3,0,1,0,5,8.8
knoble shadowy mummy,3,3,0,-1,0,2,5.0
humongous radiant minotaur,4,8,0,1,1,4,13.200000000000001
big enormous mermaid,2,6,0,0,1,3,9.0
demonic large manticore,3,5,0,-1,1,4,9.0
ferocious invisible weasel,2,3,0,0,1,5,12.32
little dead mouse,1,0,-1,0,-1,-2,-0.02
murderous weak nymph,2,4,0,-1,0,4,8.32
tired crippled human,3,0,-1,0,-1,-1,-0.27
enraged poisonous werewolf,4,6,0,-1,1,7,23.66
evil microscopy gorrila,4,1,0,-1,-1,3,4.0
fast armored minnow,1,3,0,0,-1,3,7.800000000000001
ancient friendly leviathan,5,5,0,1,1,4,13.5
aquatic enormous jedi,3,6,-1,0,1,4,9.0
lightning holy unicorn,3,3,0,1,1,8,11.0
aggressive mini griffin,5,5,0,0,1,9,16.8
insane murderous human,3,8,0,-1,1,4,15.600000000000001
murderous nice sloth,3,5,0,0,1,3,10.4
fire-breathing huge vampire,4,7,0,0,1,6,19.5
enraged aggressive lion,4,7,0,-1,1,8,23.4
angry large falcon,3,5,0,0,1,8,14.3
normal small harpy,2,1,0,0,-1,5,6.0
tired kind mouse,1,-1,0,1,-1,2,0.9
big lightning cyclops,4,5,0,0,1,6,11.0
celestial poisonous pixie,1,2,1,1,0,4,8.399999999999999
radiant plain dwarf,2,2,0,1,0,2,4.4
demonic angelic man,3,4,0,0,0,2,6.0
little flying pheonix,5,4,1,0,1,10,14.0
fast enormous zerba,4,7,0,0,1,7,14.0
insane crazy falcon,3,7,0,-1,1,8,16.5
angelic big faun,2,3,0,1,0,3,6.0
celestial ethereal condor,3,4,1,1,0,4,5.6
plain magical fairie,1,1,0,1,-1,4,5.0
invisible poisonous angel,4,4,0,0,1,7,16.94
dead ferocious gnat,1,2,-1,0,-1,-2,0.0
tired mystical pig,3,2,0,1,0,2,3.6
ferocious lightning tiger,4,5,0,0,1,9,19.599999999999998
evil shadowy snake,1,1,0,-1,-1,3,4.0
unholy friendly griffon,4,3,0,1,1,7,10.0
average ice-covered unicorn,3,4,-1,0,0,4,8.8
ghostly sick salamander,2,1,1,0,-1,1,1.1199999999999999
huge satanic tiger,4,6,0,-1,1,5,11.0
fire-breathing sleeping goblin,2,1,0,0,-1,0,0.15000000000000002
aquatic dead sprite,1,1,-1,0,-1,-1,0.0
armored invisible elephant,5,7,0,0,1,3,14.3
ice-covered aggressive yeti,4,6,-1,0,1,4,13.2
humongous crazy mermaid,2,8,0,0,1,3,12.100000000000001
nice plain pegasus,3,2,0,1,0,5,7.0
mystical angelic gorrila,4,4,0,1,1,3,7.0
crippled big wyvern,4,3,-1,0,-1,4,2.1
fire-breathing toy angel,4,3,0,0,-1,6,1.35
enraged ferocious sith,3,6,0,-1,1,7,23.66
flying ferocious weasel,2,3,1,0,1,8,15.399999999999999
shadowy weakened human,3,2,0,-1,-1,1,2.7
crazy earth-bound bug,1,3,-1,0,-1,2,0.0
average enormous falcon,3,6,0,0,1,7,13.0
crazy tiny sparrow,1,2,0,0,-1,4,6.6000000000000005
aquatic basic griffon,4,4,-1,0,1,7,9.9
aquatic floating bass,2,2,-1,0,-1,2,3.6
armored evil person,3,5,0,-1,1,1,7.800000000000001
winged invisible bug,1,1,1,0,-1,5,7.92
large mystical roc,5,6,0,1,1,6,12.0
microscopy weakened cat,2,-2,0,0,-1,3,0.9
ice-covered crippled cerberus,4,3,-1,0,-1,2,1.65
kind flying cockatrice,2,1,1,1,-1,8,9.0
humongous lightning bass,2,6,0,0,1,6,12.0
winged invisible pig,3,3,1,0,1,6,11.879999999999999
huge armored cat,2,6,0,0,1,3,11.700000000000001
huge floating wolf,3,5,1,0,1,4,9.0
dead tired man,3,2,-1,0,-1,-4,-0.018000000000000002
crazy kind person,3,4,0,1,0,2,6.6000000000000005
flying big vampire,4,5,1,0,1,9,14.0
normal insane cat,2,4,0,-1,0,5,9.0
ice-covered giant ogre,4,8,-1,0,1,1,9.9
raging tired buzzard,3,5,0,-1,1,6,12.870000000000001
magical tired cyclops,4,3,0,1,1,2,4.5
nice ferocious sloth,3,3,0,1,0,3,8.399999999999999
celestial basic griffon,4,5,1,1,1,7,12.0
plain tiny fairy,1,0,0,0,-1,4,4.0
average insane bass,2,4,0,-1,-1,4,8.0
mini aggressive gorgon,3,3,0,0,1,4,8.4
knoble large human,3,4,0,1,0,2,6.0
ice-covered nice sloth,3,3,-1,1,0,1,4.4
microscopy evil basilisk,3,0,0,-1,-1,4,4.0
humongous crazy sparrow,1,7,0,0,1,4,12.100000000000001
toy tired manticore,3,0,0,0,-1,2,0.18000000000000002
thunderous crazy bird,2,5,0,0,1,5,13.200000000000001
sleeping lightning horse,4,2,0,0,-1,5,0.7000000000000001
normal fire-breathing roc,5,6,0,0,1,6,18.0
holy angry gorrila,4,5,0,1,1,4,9.9
murderous mystical demon,5,8,0,-1,1,7,19.5
radiant enormous griffon,4,7,0,1,1,7,15.400000000000002
ferocious aquatic kraken,5,6,-1,0,1,5,13.86
regular holy man,3,3,0,1,0,2,5.0
crazy ferocious eagle,3,6,0,0,1,7,20.02
thunderous weak bird,2,2,0,0,0,5,6.720000000000001
dead tired ghost,2,1,-1,0,-1,-4,-0.027
aquatic large zerba,4,5,-1,0,1,5,9.0
aggressive levitating basilisk,3,4,1,0,1,6,12.0
kind insane dwarf,2,3,0,1,0,3,6.0
holy plain faun,2,2,0,1,0,3,5.0
flying insane cat,2,4,1,-1,1,8,12.0
flying huge falcon,3,5,1,0,1,10,15.0
crazy weak zerba,4,5,0,0,1,5,8.8
friendly floating demon,5,4,1,1,1,5,9.0
insane basic troll,4,6,0,-1,1,3,9.0
mystical basic sphinx,3,3,0,1,1,3,6.0
knoble friendly mouse,1,0,0,1,-1,3,3.0
evil insane horse,4,6,0,-1,1,6,12.0
normal kind zombie,2,1,0,1,-1,1,2.0
microscopy kind trout,2,-2,0,1,-1,3,1.0
crippled radiant ape,3,1,-1,1,-1,2,0.99
mini ice-covered falcon,3,3,-1,0,0,6,9.9
mini enraged sloth,3,4,0,-1,1,4,10.4
winged tiny demon,5,4,1,0,1,9,15.6
nice earth-bound gorrila,4,3,-1,1,-1,3,0.0
lightning little gnat,1,0,0,0,-1,5,5.0
crippled floating fairie,1,-1,1,0,-1,1,0.0
basic enraged person,3,5,0,-1,1,4,11.700000000000001
demonic knoble banshee,2,3,0,-1,1,6,9.0
angry demonic bass,2,4,0,-1,-1,4,8.8
crazy sick gorrila,4,5,0,0,1,2,5.390000000000001
aquatic giant pig,3,6,-1,0,1,3,8.1
toy small gnat,1,-2,0,0,-1,1,-0.1
thunderous demonic werewolf,4,6,0,-1,1,6,14.399999999999999
lightning crazy roc,5,7,0,0,1,9,17.6
mini tiny angel,4,2,0,0,1,7,9.0
unholy petrified dwarf,2,2,-1,-1,-1,-1,0.4
insane ghostly griffon,4,6,1,-1,1,7,10.4
lightning flying goblin,2,2,1,0,1,9,11.0
knoble earth-bound bird,2,2,-1,1,-1,4,0.0
enraged sleeping minnow,1,1,0,-1,-1,1,0.26
angry weak tiger,4,4,0,0,1,6,8.8
little weak minnow,1,-1,0,0,-1,2,0.8
magical friendly gorgon,3,2,0,1,1,3,5.0
